time,ipv4,ipv6,torv3,ipv4/ipv6,ipv4/torv3,ipv6/torv3,ipv4/ipv6/torv3,ipv4/ipv6/torv3/i2p,other
2023-03-29,0.15,0.062,0.315,0.186,0.088,0.011,0.116,0.054,0.019
2023-03-30,0.149,0.06,0.302,0.188,0.093,0.013,0.121,0.055,0.019
2023-03-31,0.145,0.064,0.307,0.188,0.089,0.012,0.122,0.055,0.018
2023-04-01,0.143,0.061,0.318,0.192,0.084,0.012,0.117,0.055,0.019
2023-04-02,0.151,0.059,0.308,0.187,0.089,0.012,0.12,0.055,0.019
2023-04-03,0.149,0.059,0.306,0.191,0.092,0.012,0.12,0.053,0.017
2023-04-04,0.15,0.058,0.308,0.187,0.091,0.011,0.12,0.055,0.02
2023-04-05,0.151,0.061,0.303,0.188,0.092,0.013,0.116,0.056,0.02
2023-04-06,0.144,0.061,0.301,0.19,0.092,0.013,0.123,0.056,0.018
2023-04-07,0.143,0.06,0.312,0.19,0.088,0.013,0.117,0.057,0.02
2023-04-08,0.143,0.059,0.313,0.187,0.088,0.014,0.122,0.054,0.02
2023-04-09,0.141,0.06,0.312,0.189,0.087,0.013,0.123,0.057,0.019
2023-04-10,0.146,0.061,0.294,0.188,0.094,0.013,0.13,0.055,0.019
2023-04-11,0.144,0.059,0.291,0.191,0.097,0.011,0.131,0.057,0.02
2023-04-12,0.145,0.061,0.294,0.188,0.096,0.011,0.13,0.056,0.02
2023-04-13,0.143,0.058,0.31,0.188,0.091,0.013,0.12,0.057,0.019
2023-04-14,0.146,0.056,0.307,0.19,0.091,0.012,0.122,0.057,0.019
2023-04-15,0.147,0.058,0.313,0.187,0.088,0.011,0.12,0.057,0.018
2023-04-16,0.143,0.059,0.308,0.188,0.09,0.014,0.122,0.058,0.018
2023-04-17,0.147,0.057,0.313,0.188,0.087,0.011,0.121,0.056,0.019
2023-04-18,0.148,0.059,0.315,0.183,0.088,0.011,0.12,0.057,0.019
2023-04-19,0.141,0.06,0.314,0.186,0.089,0.012,0.121,0.058,0.02
2023-04-20,0.14,0.057,0.313,0.189,0.091,0.013,0.121,0.056,0.02
2023-04-21,0.146,0.063,0.31,0.184,0.091,0.012,0.118,0.057,0.02
2023-04-22,0.141,0.06,0.318,0.184,0.089,0.013,0.118,0.058,0.019
2023-04-23,0.14,0.058,0.319,0.188,0.088,0.012,0.121,0.055,0.018
2023-04-24,0.137,0.06,0.303,0.188,0.094,0.013,0.128,0.057,0.02
2023-04-25,0.138,0.058,0.303,0.188,0.097,0.012,0.126,0.059,0.02
2023-04-26,0.139,0.063,0.29,0.189,0.097,0.012,0.133,0.058,0.019
2023-04-27,0.139,0.06,0.291,0.189,0.099,0.012,0.131,0.06,0.02
2023-04-28,0.144,0.059,0.294,0.186,0.098,0.013,0.126,0.06,0.019
2023-04-29,0.144,0.061,0.297,0.185,0.095,0.012,0.128,0.059,0.019
2023-04-30,0.147,0.06,0.299,0.189,0.099,0.012,0.131,0.048,0.015
2023-05-01,0.151,0.063,0.293,0.186,0.097,0.012,0.133,0.048,0.015
2023-05-02,0.151,0.063,0.292,0.19,0.1,0.014,0.13,0.047,0.015
2023-05-03,0.149,0.06,0.306,0.188,0.098,0.012,0.127,0.046,0.015
2023-05-04,0.148,0.061,0.29,0.188,0.103,0.012,0.135,0.048,0.015
2023-05-05,0.145,0.062,0.296,0.186,0.099,0.013,0.129,0.054,0.016
2023-05-06,0.138,0.064,0.297,0.19,0.1,0.012,0.132,0.052,0.016
2023-05-07,0.15,0.067,0.293,0.179,0.1,0.011,0.13,0.054,0.017
2023-05-08,0.155,0.072,0.279,0.169,0.104,0.011,0.132,0.057,0.018
2023-05-09,0.156,0.067,0.29,0.169,0.101,0.012,0.131,0.057,0.018
2023-05-10,0.147,0.064,0.287,0.175,0.105,0.01,0.134,0.059,0.019
2023-05-11,0.149,0.064,0.293,0.174,0.099,0.012,0.13,0.059,0.019
2023-05-12,0.143,0.064,0.293,0.179,0.099,0.012,0.13,0.06,0.02
2023-05-13,0.144,0.061,0.293,0.176,0.102,0.012,0.129,0.062,0.021
2023-05-14,0.13,0.061,0.305,0.178,0.098,0.01,0.135,0.063,0.02
2023-05-15,0.14,0.059,0.301,0.181,0.095,0.011,0.13,0.064,0.018
2023-05-16,0.145,0.062,0.287,0.178,0.1,0.012,0.13,0.064,0.02
2023-05-17,0.14,0.06,0.293,0.182,0.098,0.012,0.131,0.063,0.02
2023-05-18,0.141,0.061,0.298,0.182,0.095,0.012,0.129,0.062,0.02
2023-05-19,0.136,0.066,0.297,0.178,0.094,0.012,0.133,0.065,0.02
2023-05-20,0.13,0.058,0.294,0.187,0.099,0.014,0.13,0.065,0.023
2023-05-21,0.135,0.057,0.288,0.186,0.1,0.012,0.135,0.066,0.021
2023-05-22,0.131,0.057,0.294,0.187,0.1,0.012,0.134,0.064,0.02
