time,total,unique,duplicate,unreachable,reachable,stale,pristine
2022-10-12,317,308,9,75,233,21,212
2022-10-13,316,307,9,79,228,16,212
2022-10-14,318,309,9,82,227,21,206
2022-10-15,318,311,7,78,233,17,216
2022-10-16,318,307,11,82,225,16,209
2022-10-17,317,311,6,83,228,9,219
2022-10-18,314,304,10,87,217,17,200
2022-10-19,318,310,8,90,220,14,206
2022-10-20,319,314,5,98,216,20,196
2022-10-21,319,313,6,102,211,13,198
2022-10-22,319,316,3,86,230,20,210
2022-10-23,322,308,14,76,232,18,214
2022-10-24,317,309,8,61,248,20,228
2022-10-25,317,315,2,73,242,13,229
2022-10-26,319,307,12,69,238,12,226
2022-10-27,317,311,6,73,238,13,225
2022-10-28,314,305,9,84,221,9,212
2022-10-29,314,309,5,74,235,22,213
2022-10-30,320,319,1,83,236,20,216
2022-10-31,313,308,5,76,232,20,212
2022-11-01,280,273,7,74,199,20,179
2022-11-02,320,311,9,74,237,13,224
2022-11-03,316,308,8,75,233,13,220
2022-11-04,318,309,9,76,233,24,209
2022-11-05,320,312,8,91,221,18,203
2022-11-06,320,309,11,68,241,17,224
2022-11-07,318,313,5,71,242,13,229
2022-11-08,319,312,7,72,240,19,221
2022-11-09,317,310,7,73,237,15,222
2022-11-10,319,315,4,79,236,19,217
2022-11-11,317,312,5,70,242,14,228
2022-11-12,316,307,9,71,236,15,221
2022-11-13,321,319,2,79,240,23,217
2022-11-14,313,307,6,63,244,17,227
2022-11-15,319,309,10,85,224,18,206
2022-11-16,322,314,8,76,238,14,224
2022-11-17,327,318,9,78,240,19,221
2022-11-18,316,310,6,79,231,22,209
2022-11-19,322,311,11,74,237,15,222
2022-11-20,318,310,8,80,230,17,213
2022-11-21,321,316,5,85,231,21,210
2022-11-22,323,313,10,88,225,17,208
2022-11-23,320,315,5,85,230,21,209
2022-11-24,322,317,5,80,237,13,224
2022-11-25,319,312,7,84,228,17,211
2022-11-26,319,315,4,79,236,22,214
2022-11-27,316,311,5,72,239,14,225
2022-11-28,316,311,5,86,225,15,210
2022-11-29,317,311,6,80,231,21,210
2022-11-30,318,311,7,76,235,25,210
2022-12-01,318,308,10,86,222,19,203
2022-12-02,313,307,6,42,265,17,248
2022-12-03,319,310,9,71,239,19,220
2022-12-04,323,315,8,61,254,14,240
2022-12-05,319,305,14,50,255,19,236
2022-12-06,316,306,10,47,259,20,239
2022-12-07,318,305,13,49,256,26,230
2022-12-08,321,315,6,50,265,25,240
2022-12-09,317,310,7,57,253,31,222
2022-12-10,316,304,12,56,248,26,222
2022-12-11,318,305,13,53,252,31,221
2022-12-12,315,306,9,44,262,24,238
2022-12-13,317,305,12,58,247,19,228
2022-12-14,318,306,12,52,254,18,236
2022-12-15,315,296,19,51,245,21,224
2022-12-16,320,310,10,59,251,25,226
2022-12-17,318,307,11,65,242,26,216
2022-12-18,315,307,8,52,255,21,234
2022-12-19,317,305,12,60,245,29,216
2022-12-20,315,299,16,41,258,37,221
2022-12-21,319,310,9,50,260,27,233
2022-12-22,309,300,9,64,236,27,209
2022-12-23,320,308,12,73,235,19,216
2022-12-24,319,311,8,58,253,23,230
2022-12-25,319,302,17,62,240,20,220
2022-12-26,316,301,15,54,247,27,220
2022-12-27,318,302,16,61,241,31,210
2022-12-28,318,312,6,60,252,26,226
2022-12-29,319,311,8,67,244,18,226
2022-12-30,318,299,19,51,248,25,223
2022-12-31,317,307,10,51,256,19,237
2023-01-01,320,304,16,55,249,22,227
2023-01-02,312,302,10,47,255,19,236
2023-01-03,323,305,18,56,249,25,224
2023-01-04,318,311,7,54,257,28,229
2023-01-05,319,306,13,54,252,26,226
2023-01-06,314,303,11,57,246,26,220
2023-01-07,317,303,14,63,240,30,210
2023-01-08,321,307,14,58,249,15,234
2023-01-09,319,307,12,51,256,23,233
2023-01-10,316,300,16,51,249,32,217
2023-01-11,317,299,18,57,242,23,219
2023-01-12,319,315,4,57,258,24,234
2023-01-13,314,305,9,58,247,27,220
2023-01-14,319,305,14,70,235,24,211
2023-01-15,319,307,12,48,259,25,234
2023-01-16,328,317,11,53,264,31,233
2023-01-17,314,300,14,56,244,21,223
2023-01-18,318,303,15,51,252,27,225
2023-01-19,318,309,9,56,253,33,220
2023-01-20,320,313,7,58,255,29,226
2023-01-21,320,309,11,64,245,20,225
2023-01-22,322,313,9,62,251,27,224
2023-01-23,315,298,17,58,240,31,209
2023-01-24,315,302,13,54,248,18,230
2023-01-25,317,301,16,50,251,26,225
2023-01-26,315,302,13,47,255,27,228
2023-01-27,319,303,16,60,243,32,211
2023-01-28,319,305,14,62,243,21,222
2023-01-29,322,311,11,71,240,26,214
2023-01-30,317,309,8,66,243,20,223
2023-01-31,321,305,16,70,235,26,209
2023-02-01,315,307,8,53,254,29,225
2023-02-02,315,304,11,54,250,21,229
2023-02-03,317,302,15,55,247,31,216
2023-02-04,317,299,18,50,249,34,215
2023-02-05,318,306,12,50,256,33,223
2023-02-06,317,303,14,49,254,24,230
2023-02-07,317,309,8,67,242,28,214
2023-02-08,292,279,13,64,215,18,197
2023-02-09,318,309,9,53,256,11,245
2023-02-10,319,303,16,53,250,23,227
2023-02-11,315,299,16,62,237,21,216
2023-02-12,314,305,9,42,263,27,236
2023-02-13,315,299,16,46,253,23,230
2023-02-14,318,306,12,73,233,23,210
2023-02-15,315,303,12,51,252,30,222
2023-02-16,315,308,7,59,249,27,222
2023-02-17,319,307,12,59,248,21,227
2023-02-18,319,306,13,56,250,22,228
2023-02-19,313,300,13,39,261,26,235
2023-02-20,319,309,10,56,253,22,231
2023-02-21,318,309,9,54,255,25,230
2023-02-22,319,306,13,50,256,24,232
2023-02-23,321,305,16,50,255,27,228
2023-02-24,314,303,11,39,264,29,235
2023-02-25,318,300,18,60,240,24,216
2023-02-26,315,307,8,46,261,27,234
2023-02-27,315,310,5,46,264,31,233
2023-02-28,315,308,7,53,255,28,227
2023-03-01,318,310,8,52,258,23,235
2023-03-02,319,307,12,47,260,22,238
2023-03-03,320,305,15,54,251,33,218
2023-03-04,317,309,8,57,252,21,231
2023-03-05,316,303,13,44,259,25,234
2023-03-06,317,310,7,56,254,26,228
2023-03-07,318,310,8,48,262,28,234
2023-03-08,320,308,12,56,252,17,235
2023-03-09,316,308,8,44,264,18,246
2023-03-10,322,315,7,57,258,24,234
2023-03-11,318,305,13,46,259,28,231
2023-03-12,316,306,10,55,251,25,226
2023-03-13,317,305,12,43,262,18,244
2023-03-14,313,301,12,42,259,23,236
2023-03-15,294,279,15,48,231,28,203
2023-03-16,278,269,9,61,208,25,183
2023-03-17,281,273,8,53,220,19,201
2023-03-18,313,303,10,53,250,28,222
2023-03-19,280,274,6,52,222,25,197
2023-03-20,314,303,11,43,260,22,238
2023-03-21,316,311,5,58,253,25,228
2023-03-22,316,307,9,45,262,31,231
2023-03-23,279,273,6,50,223,21,202
2023-03-24,316,307,9,44,263,17,246
2023-03-25,318,307,11,53,254,27,227
2023-03-26,316,308,8,47,261,26,235
2023-03-27,315,305,10,45,260,27,233
2023-03-28,317,308,9,49,259,31,228
2023-03-29,314,308,6,48,260,22,238
2023-03-30,321,308,13,56,252,26,226
2023-03-31,319,312,7,55,257,26,231
2023-04-01,322,306,16,44,262,23,239
2023-04-02,322,315,7,52,263,20,243
2023-04-03,316,309,7,43,266,31,235
2023-04-04,315,304,11,37,267,30,237
2023-04-05,290,283,7,51,232,27,205
2023-04-06,293,285,8,42,243,16,227
2023-04-07,320,306,14,46,260,27,233
2023-04-08,317,311,6,53,258,21,237
2023-04-09,318,311,7,54,257,23,234
2023-04-10,319,308,11,53,255,26,229
2023-04-11,314,311,3,107,204,10,194
2023-04-12,320,308,12,54,254,28,226
2023-04-13,283,270,13,44,226,18,208
2023-04-14,318,310,8,51,259,29,230
2023-04-15,319,307,12,54,253,22,231
2023-04-16,320,314,6,46,268,22,246
2023-04-17,316,308,8,56,252,26,226
2023-04-18,320,310,10,39,271,27,244
2023-04-19,290,282,8,50,232,27,205
2023-04-20,319,310,9,52,258,21,237
2023-04-21,319,308,11,51,257,22,235
2023-04-22,319,306,13,59,247,27,220
2023-04-23,313,297,16,49,248,30,218
2023-04-24,322,311,11,54,257,25,232
2023-04-25,317,309,8,43,266,26,240
2023-04-26,320,310,10,49,261,23,238
