time,node_network,node_bloom,node_witness,node_compact_filters,node_network_limited,node_p2p_v2
2022-10-11,13224,5125,14593,863,14510,4
2022-10-12,13511,5343,14913,893,14836,3
2022-10-13,13489,5276,14935,886,14846,3
2022-10-14,13064,5057,14407,838,14329,3
2022-10-15,13546,5244,14913,882,14825,3
2022-10-16,13460,5248,14810,895,14728,3
2022-10-17,13403,5214,14775,871,14686,3
2022-10-18,13345,5174,14686,876,14601,4
2022-10-19,13191,5125,14508,866,14430,5
2022-10-20,13423,5180,14787,891,14707,6
2022-10-21,12855,4922,14158,835,14078,3
2022-10-22,13523,5208,14863,903,14779,5
2022-10-23,13568,5230,14931,912,14842,6
2022-10-24,13547,5206,14888,905,14804,4
2022-10-25,13538,5234,14870,907,14787,5
2022-10-26,13519,5223,14857,930,14776,6
2022-10-27,13626,5227,14974,928,14895,6
2022-10-28,13420,5187,14768,903,14682,7
2022-10-29,13901,5357,15334,940,15255,5
2022-10-30,13850,5399,15310,957,15226,5
2022-10-31,13819,5367,15289,945,15203,5
2022-11-01,13678,5334,15155,940,15064,6
2022-11-02,13731,5328,15215,944,15124,5
2022-11-03,13583,5278,15112,964,15027,8
2022-11-04,13631,5312,15142,961,15057,13
2022-11-05,13837,5337,15351,970,15269,12
2022-11-06,13917,5360,15414,959,15326,11
2022-11-07,13846,5362,15320,972,15235,15
2022-11-08,13809,5345,15281,945,15202,11
2022-11-09,13646,5289,15126,927,15040,12
2022-11-10,13683,5329,15173,943,15092,12
2022-11-11,13824,5321,15263,941,15180,12
2022-11-12,13972,5331,15458,959,15373,11
2022-11-13,13386,5101,14803,910,14715,7
2022-11-14,13976,5249,15381,938,15296,7
2022-11-15,13662,5204,15072,915,14995,8
2022-11-16,13728,5215,15156,932,15075,11
2022-11-17,13559,5137,14940,913,14859,10
2022-11-18,13707,5149,15127,936,15050,9
2022-11-19,13750,5211,15201,918,15110,10
2022-11-20,13583,5139,15031,921,14947,10
2022-11-21,13766,5211,15244,943,15160,9
2022-11-22,13596,5107,15034,916,14950,9
2022-11-23,13789,5224,15265,949,15184,9
2022-11-24,13695,5199,15179,959,15096,12
2022-11-25,13694,5180,15170,947,15085,11
2022-11-26,13780,5199,15267,924,15174,10
2022-11-27,13886,5185,15345,939,15264,12
2022-11-28,13678,5040,15075,899,14996,10
2022-11-29,13835,5137,15273,933,15192,10
2022-11-30,13864,5180,15297,931,15211,9
2022-12-01,13914,5189,15325,938,15240,9
2022-12-02,13973,5197,15412,966,15329,6
2022-12-03,13838,5127,15293,924,15209,6
2022-12-04,13718,5042,15160,924,15075,9
2022-12-05,13845,5136,15265,943,15178,8
2022-12-06,13721,5050,15138,916,15049,11
2022-12-07,13791,5131,15221,938,15137,10
2022-12-08,13778,5120,15254,940,15170,11
2022-12-09,13770,5114,15219,963,15132,12
2022-12-10,13714,5054,15183,921,15097,12
2022-12-11,13630,5068,15094,906,15014,7
2022-12-12,13588,5018,15034,934,14952,8
2022-12-13,13683,5084,15138,945,15052,9
2022-12-14,13541,5022,14974,921,14890,7
2022-12-15,13703,5033,15131,943,15046,11
2022-12-16,13566,4982,15011,888,14927,12
2022-12-17,13605,4984,15045,899,14964,15
2022-12-18,13563,4954,15002,895,14918,13
2022-12-19,13465,4913,14896,882,14813,14
2022-12-20,13578,4940,15047,886,14968,11
2022-12-21,13629,4951,15095,887,15010,13
2022-12-22,13625,4961,15093,903,15012,13
2022-12-23,13694,5020,15193,981,15114,16
2022-12-24,13734,5043,15214,1036,15131,16
2022-12-25,13610,5031,15098,990,15018,15
2022-12-26,13665,5037,15164,1049,15078,14
2022-12-27,13785,5071,15279,1064,15195,13
2022-12-28,13822,5084,15334,1059,15245,12
2022-12-29,13848,5111,15362,1098,15279,15
2022-12-30,13848,5109,15349,1100,15261,14
2022-12-31,13941,5140,15440,1136,15355,13
2023-01-01,13975,5163,15490,1151,15399,14
2023-01-02,13896,5135,15411,1136,15326,13
2023-01-03,14034,5176,15533,1151,15452,12
2023-01-04,14038,5188,15533,1161,15452,15
2023-01-05,13900,5167,15366,1184,15289,14
2023-01-06,13946,5223,15439,1202,15366,14
2023-01-07,14075,5253,15566,1201,15488,15
2023-01-08,14137,5301,15649,1235,15572,15
2023-01-09,13928,5212,15435,1237,15357,13
2023-01-10,13965,5241,15440,1253,15360,15
2023-01-11,13913,5255,15376,1258,15298,15
2023-01-12,14112,5324,15593,1304,15512,14
2023-01-13,14296,5362,15797,1301,15717,13
2023-01-14,14315,5381,15812,1315,15731,13
2023-01-15,14195,5282,15691,1286,15610,13
2023-01-16,14275,5310,15743,1304,15665,14
2023-01-17,14236,5337,15718,1338,15638,13
2023-01-18,14293,5368,15797,1334,15715,10
2023-01-19,14339,5386,15817,1362,15739,11
2023-01-20,14308,5337,15820,1351,15743,11
2023-01-21,14146,5338,15650,1391,15572,13
2023-01-22,14158,5363,15663,1363,15587,19
2023-01-23,14199,5366,15698,1398,15618,17
2023-01-24,14330,5357,15823,1382,15745,17
2023-01-25,14379,5381,15882,1387,15804,14
2023-01-26,14356,5381,15868,1367,15783,19
2023-01-27,14322,5379,15818,1421,15744,19
2023-01-28,14239,5373,15673,1449,15600,16
2023-01-29,14121,5321,15562,1402,15479,18
2023-01-30,14188,5372,15621,1401,15551,15
2023-01-31,14295,5425,15756,1460,15681,14
2023-02-01,14328,5422,15838,1491,15762,14
2023-02-02,14611,5499,16131,1496,16050,17
2023-02-03,14520,5518,16027,1533,15951,15
2023-02-04,14376,5487,15903,1562,15826,16
