time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,0.13.0,0.17.1,0.21.1,0.14.99,0.20.0,0.17.0.1,0.18.0,0.18.0,0.21.0
2022-10-12,0.12.1,0.18.0,0.21.1,0.14.2,0.12.1,0.13.0,0.18.0,0.17.1,0.21.0
2022-10-13,0.15.2,0.17.1,0.21.1,0.13.2,0.16.3,0.18.0,0.10.2,0.18.0,23.0.0
2022-10-14,0.18.0,0.21.0,0.21.1,0.18.0,0.20.1,0.12.1,0.18.0,0.18.1,23.0.0
2022-10-15,0.19.0.1,0.15.1,0.21.1,0.10.2,0.18.1,0.14.2,0.19.1,0.20.0,22.0.0
2022-10-16,0.16.1,22.0.0,0.21.1,0.18.1,0.19.0.1,0.16.3,0.17.1,0.15.1,0.21.1
2022-10-17,0.15.0,0.21.0,0.21.1,0.14.2,0.20.1,0.14.2,0.18.0,0.18.0,22.0.0
2022-10-18,0.12.1,0.20.1,0.21.1,0.14.99,0.14.1,0.17.0.1,0.20.1,0.17.99,0.14.1
2022-10-19,0.19.1,0.21.0,0.21.1,0.14.99,0.20.1,0.14.2,0.15.0.1,0.17.0.1,
2022-10-20,0.17.0,22.0.0,0.21.1,0.18.0,0.14.2,0.20.1,0.18.1,0.16.3,
2022-10-21,0.16.2,22.0.0,0.21.1,0.20.1,0.17.0.1,0.20.1,0.20.0,0.17.1,
2022-10-22,0.12.1,22.0.0,0.21.1,0.16.0,0.18.1,0.18.0,0.20.0,0.12.1,22.0.0
2022-10-23,0.18.0,0.21.0,0.21.1,0.14.99,0.12.1,0.19.1,0.13.0,0.20.1,
2022-10-24,0.12.1,0.21.0,0.21.1,0.18.0,0.16.3,0.17.2,0.20.1,0.20.1,23.0.0
2022-10-25,0.18.0,0.21.0,0.21.1,0.17.99,0.20.1,0.20.1,0.17.0,0.16.2,22.0.0
2022-10-26,0.18.1,0.18.1,0.21.1,0.14.2,0.15.2,0.18.1,0.19.1,0.18.1,0.21.1
2022-10-27,0.17.2,0.21.1,0.21.1,0.16.2,0.18.1,0.15.1,0.13.0,0.17.0,0.19.0.1
2022-10-28,0.20.0,0.18.1,0.21.1,0.15.0.1,0.18.0,0.15.2,0.19.1,0.17.0.1,
2022-10-29,0.20.1,22.0.0,0.21.1,0.8.6,0.20.1,0.13.0,0.18.1,0.14.1,
2022-10-30,0.18.0,0.17.1,0.21.1,0.16.1,0.17.0,0.19.1,0.17.0.1,0.17.1,0.19.1
2022-10-31,0.19.1,0.18.1,0.21.1,0.17.1,0.18.0,0.19.1,0.20.1,0.13.2,23.0.0
2022-11-01,0.17.1,22.0.0,,0.14.99,0.17.1,0.18.1,0.20.1,0.16.1,0.21.1
2022-11-02,0.19.0.1,0.21.0,0.21.1,0.16.3,0.18.1,0.20.0,0.18.0,0.12.1,
2022-11-03,0.15.0.1,0.21.1,0.21.1,0.16.0,0.15.0.1,0.17.1,0.15.1,0.18.1,22.0.0
2022-11-04,0.18.1,0.20.1,0.21.1,0.17.0,0.19.0.1,0.19.1,0.15.0.1,0.16.1,23.0.0
2022-11-05,0.10.0,0.21.0,0.21.1,0.14.99,0.19.99,0.12.1,0.12.1,0.20.1,
2022-11-06,0.17.0,0.17.0,0.21.1,0.14.99,0.20.1,0.18.1,0.17.1,0.17.1,23.0.0
2022-11-07,0.17.0.1,0.21.1,0.21.1,0.14.99,0.20.1,0.20.0,0.19.0.1,0.18.1,0.14.1
2022-11-08,0.18.0,0.14.2,0.21.1,0.17.1,0.20.1,0.20.1,0.17.1,0.20.0,22.0.0
2022-11-09,0.12.1,0.19.1,0.21.1,0.12.1,0.19.0,0.15.1,0.17.0.1,0.13.0,22.0.0
2022-11-10,0.18.0,0.21.0,0.21.1,0.9.0,0.17.1,0.12.1,0.17.0,0.17.1,0.21.1
2022-11-11,0.12.1,0.19.1,0.21.1,0.14.99,0.20.1,0.14.1,0.16.3,0.12.1,23.0.0
2022-11-12,0.17.1,0.21.1,0.21.1,0.17.1,0.13.0,0.12.1,0.19.1,0.16.2,22.0.0
2022-11-13,0.18.0,0.21.0,0.21.1,0.14.99,0.20.0,0.15.0.1,0.13.0,0.19.1,0.21.0
2022-11-14,0.16.2,0.21.0,0.21.1,0.15.0,0.18.0,0.20.1,0.21.0,0.20.1,
2022-11-15,0.13.0,0.21.1,0.21.1,0.14.99,0.20.1,0.20.0,0.17.0,0.15.1,23.0.0
2022-11-16,0.13.0,0.19.1,0.21.1,0.18.0,0.13.0,0.12.1,0.19.1,0.12.1,0.21.1
2022-11-17,0.18.1,0.20.1,0.21.1,0.14.99,0.20.1,0.12.1,0.16.3,0.17.1,0.21.0
2022-11-18,0.18.1,0.21.0,0.21.1,0.14.99,0.19.0.1,0.17.2,0.16.3,0.17.0.1,22.0.0
