time,total,ipv4,ipv6,torv2,torv3,i2p
2022-11-10,7168,4027,993,0,2148,0
2022-11-11,7325,4029,998,0,2298,0
2022-11-12,7378,4042,1011,0,2325,0
2022-11-13,7172,3975,995,0,2202,0
2022-11-14,7343,3980,996,0,2367,0
2022-11-15,7378,3956,999,0,2423,0
2022-11-16,7463,3958,997,0,2508,0
2022-11-17,7461,3931,993,0,2536,1
2022-11-18,7525,3939,996,0,2589,1
2022-11-19,7648,3968,1001,0,2678,1
2022-11-20,7689,3957,1005,0,2726,1
2022-11-21,7992,3965,1003,0,3022,2
2022-11-22,7964,3963,1004,0,2994,3
2022-11-23,8016,3951,998,0,3064,3
2022-11-24,8123,3945,995,0,3177,6
2022-11-25,8241,3965,992,0,3277,7
2022-11-26,8367,3998,986,0,3375,8
2022-11-27,8445,4011,990,0,3437,7
2022-11-28,8476,4011,993,0,3466,6
2022-11-29,8417,3998,993,0,3421,5
2022-11-30,8326,3975,991,0,3355,5
2022-12-01,8232,3951,992,0,3284,5
2022-12-02,8204,3958,992,0,3248,6
2022-12-03,8202,3963,991,0,3242,6
2022-12-04,8139,3965,993,0,3175,6
2022-12-05,8115,3964,994,0,3150,7
2022-12-06,8020,3961,994,0,3058,7
2022-12-07,7963,3970,994,0,2994,5
2022-12-08,7842,3920,983,0,2935,4
2022-12-09,7820,3940,987,0,2889,4
2022-12-10,7789,3940,989,0,2855,5
2022-12-11,7758,3948,988,0,2817,5
2022-12-12,7662,3944,985,0,2727,6
2022-12-13,7608,3944,970,0,2688,6
2022-12-14,7779,4009,975,0,2791,4
2022-12-15,7709,3984,964,0,2758,3
2022-12-16,7665,3992,949,0,2721,3
2022-12-17,7654,4004,943,0,2705,2
2022-12-18,7624,3995,935,0,2692,2
2022-12-19,7549,3977,929,0,2641,2
2022-12-20,7499,3980,922,0,2595,2
2022-12-21,7438,3977,912,0,2547,2
2022-12-22,7401,3983,905,0,2511,2
2022-12-23,7428,3995,900,0,2531,2
2022-12-24,7336,3980,899,0,2456,1
2022-12-25,7276,3952,897,0,2426,1
2022-12-26,7278,3971,902,0,2404,1
2022-12-27,7248,3969,904,0,2374,1
2022-12-28,7266,3963,904,0,2398,1
2022-12-29,7289,3957,897,0,2435,0
2022-12-30,7313,3969,902,0,2442,0
2022-12-31,7327,3976,906,0,2445,0
2023-01-01,7336,3988,902,0,2446,0
2023-01-02,7344,3997,900,0,2447,0
2023-01-03,7351,4006,901,0,2444,0
2023-01-04,7354,4006,900,0,2448,0
2023-01-05,7336,3988,895,0,2453,0
2023-01-06,7397,4003,899,0,2495,0
2023-01-07,7447,4025,905,0,2517,0
2023-01-08,7432,4015,902,0,2515,0
2023-01-09,7448,4034,902,0,2512,0
2023-01-10,7465,4023,905,0,2537,0
2023-01-11,7459,4008,905,0,2546,0
2023-01-12,7516,4009,901,0,2606,0
2023-01-13,7544,4036,903,0,2605,0
2023-01-14,7546,4026,903,0,2617,0
2023-01-15,7542,4033,902,0,2607,0
2023-01-16,7578,4041,905,0,2632,0
2023-01-17,7513,4024,894,0,2595,0
