time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-10-11,39,19,35,37,20,35,27,22,8
2022-10-12,39,18,36,37,16,35,29,24,7
2022-10-13,38,23,36,37,14,34,30,24,1
2022-10-14,38,22,36,34,16,34,29,22,4
2022-10-15,38,20,35,37,21,30,32,22,5
2022-10-16,39,21,36,37,16,34,22,26,4
2022-10-17,37,21,34,37,18,31,27,23,5
2022-10-18,39,20,36,37,9,34,25,23,4
2022-10-19,37,23,35,36,18,34,22,22,0
2022-10-20,38,18,36,37,13,31,26,22,0
2022-10-21,39,9,35,37,19,31,24,23,0
2022-10-22,39,12,36,37,21,33,25,23,7
2022-10-23,39,25,36,37,17,37,28,24,2
2022-10-24,39,26,36,37,26,34,32,22,4
2022-10-25,37,27,34,37,17,32,31,24,5
2022-10-26,38,28,35,37,21,35,27,22,6
2022-10-27,39,29,36,37,12,36,26,25,4
2022-10-28,38,26,36,37,17,30,22,22,1
2022-10-29,38,27,35,37,20,37,25,21,0
2022-10-30,38,27,36,36,19,30,23,23,5
2022-10-31,39,28,35,37,12,30,27,25,4
2022-11-01,38,30,0,37,16,34,28,21,2
2022-11-02,39,30,35,37,22,34,25,24,0
2022-11-03,39,27,36,37,16,32,25,23,6
2022-11-04,38,29,36,37,19,31,30,20,2
2022-11-05,38,25,36,37,14,34,25,20,0
2022-11-06,39,25,36,37,19,34,30,25,7
2022-11-07,39,30,36,37,20,31,29,21,4
2022-11-08,39,28,36,37,20,27,30,25,5
2022-11-09,39,24,36,37,19,35,26,25,3
2022-11-10,38,28,36,37,19,31,26,24,1
2022-11-11,39,30,34,37,23,30,26,24,4
2022-11-12,39,26,36,37,18,31,25,25,7
2022-11-13,39,26,36,37,14,35,29,23,3
2022-11-14,38,26,36,37,23,35,28,26,0
2022-11-15,37,28,35,37,13,33,24,24,3
2022-11-16,39,28,36,37,16,33,27,26,4
2022-11-17,39,39,35,37,16,30,28,22,3
2022-11-18,38,27,36,37,20,32,26,19,2
2022-11-19,39,27,36,37,23,34,26,25,0
2022-11-20,38,27,35,37,17,32,28,23,1
2022-11-21,37,28,36,37,18,30,24,22,4
2022-11-22,38,28,35,36,16,32,26,23,1
2022-11-23,36,28,36,37,17,32,25,24,0
2022-11-24,38,27,36,37,20,36,26,21,1
2022-11-25,37,28,35,37,20,32,27,18,0
2022-11-26,37,29,36,37,17,31,28,25,0
2022-11-27,39,28,36,37,17,32,30,24,1
2022-11-28,38,26,36,36,11,30,27,25,1
2022-11-29,38,29,36,37,19,31,23,23,1
2022-11-30,39,29,36,36,22,30,25,24,0
2022-12-01,36,27,34,37,19,30,27,20,1
2022-12-02,39,25,36,37,19,36,26,25,28
2022-12-03,39,26,33,37,14,33,26,23,16
2022-12-04,39,29,36,36,16,33,22,25,26
2022-12-05,39,26,35,37,14,37,25,27,29
2022-12-06,39,29,35,37,17,34,26,22,29
2022-12-07,39,26,36,37,19,34,31,22,25
2022-12-08,39,29,36,37,19,35,29,21,26
2022-12-09,38,28,36,37,12,34,26,23,25
2022-12-10,38,28,36,37,17,32,24,22,26
2022-12-11,39,30,36,37,16,33,23,24,26
2022-12-12,39,29,36,37,21,30,26,25,28
2022-12-13,37,29,36,37,18,31,23,26,22
2022-12-14,38,29,36,37,13,29,32,24,28
2022-12-15,38,27,35,36,17,35,27,21,27
